Unnamed: 0,gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells
1941,BUB1B-PAK6,ENSG00000137843,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,BUB1B-PAK6 readthrough,True,,,,,,,0.6,not detected,not detected
1942,KRT8,ENSG00000170421,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,keratin 8,True,,,,,,,10.6,not detected,high
1943,SIK3,ENSG00000160584,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,SIK family kinase 3,True,,,,,,,22.4,high,high
1944,LAT,ENSG00000169682,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,linker for activation of T cells,True,,,,,,,18.3,not detected,not detected
1945,MTA2,ENSG00000149480,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,metastasis associated 1 family member 2,True,,,,,,,35.0,high,na
1946,C12orf56,ENSG00000185306,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,chromosome 12 open reading frame 56,True,,,,,,,0.1,not detected,not detected
1947,ATF4,ENSG00000128272,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,activating transcription factor 4,True,,,,,,,53.6,low,na
1948,EDA,ENSG00000158813,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ectodysplasin A,True,,,,,,,7.9,na,na
1949,MEIKIN,ENSG00000239642,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,meiotic kinetochore factor,True,,,,,,,0.0,na,na
1950,MIR9-3,ENSG00000284329,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,microRNA 9-3,True,,,,,,,,na,na
1951,USP15,ENSG00000135655,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ubiquitin specific peptidase 15,True,,,,,,,22.5,low,na
1952,YWHAE,ENSG00000108953,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,True,,,,,,,40.2,medium,low
1953,POSTN,ENSG00000133110,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,periostin,True,,,,,,,21.0,not detected,na
1954,BBOF1,ENSG00000119636,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,basal body orientation factor 1,True,,,,,,,5.8,not detected,not detected
1955,CH25H,ENSG00000138135,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,cholesterol 25-hydroxylase,True,,,,,,,3.4,na,na
1956,ATXN7,ENSG00000163635,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ataxin 7,True,,,,,,,12.4,na,na
1957,HSD17B1,ENSG00000108786,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,hydroxysteroid 17-beta dehydrogenase 1,True,,,,,,,5.8,not detected,not detected
1958,SPATA16,ENSG00000144962,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,spermatogenesis associated 16,True,,,,,,,0.0,not detected,not detected
1959,JADE1,ENSG00000077684,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,jade family PHD finger 1,True,,,,,,,18.6,low,na
1960,GPRC5A,ENSG00000013588,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,G protein-coupled receptor class C group 5 member A,True,,,,,,,18.5,not detected,not detected
1961,RNASE6,ENSG00000169413,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ribonuclease A family member k6,True,,,,,,,4.3,not detected,na
1962,DHCR24,ENSG00000116133,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,24-dehydrocholesterol reductase,True,,,,,,,7.8,not detected,not detected
1963,PDE10A,ENSG00000112541,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 10A,True,,,,,,,3.4,not detected,na
1964,SMARCAL1,ENSG00000138375,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1",True,,,,,,,25.1,not detected,not detected
1965,RABL2B,ENSG00000079974,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"RAB, member of RAS oncogene family like 2B",True,,,,,,,17.8,not detected,not detected
1966,PDE6G,ENSG00000185527,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 6G,True,,,,,,,0.5,not detected,not detected
1967,RELN,ENSG00000189056,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,reelin,True,,,,,,,1.3,na,na
1968,ADM2,ENSG00000128165,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,adrenomedullin 2,True,,,,,,,0.4,na,na
1969,IL2RB,ENSG00000100385,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,interleukin 2 receptor subunit beta,True,,,,,,,1.5,not detected,na
1970,FLNB,ENSG00000136068,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,filamin B,True,,,,,,,22.9,low,medium
1971,TRAF3IP2,ENSG00000056972,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,TRAF3 interacting protein 2,True,,,,,,,8.9,medium,medium
1972,PDP1,ENSG00000205808,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,pyruvate dehydrogenase phosphatase catalytic subunit 1,True,,,,,,,4.2,low,na
1973,DELE1,ENSG00000081791,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,DAP3 binding cell death enhancer 1,True,,,,,,,26.2,high,high
1974,PDE4A,ENSG00000065989,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 4A,True,,,,,,,1.7,na,na
1975,LPIN1,ENSG00000134324,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,lipin 1,True,,,,,,,19.3,not detected,na
1976,PLA2G2A,ENSG00000188257,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phospholipase A2 group IIA,True,,,,,,,35.6,not detected,not detected
1977,MBD1,ENSG00000141644,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,methyl-CpG binding domain protein 1,True,,,,,,,20.7,low,na
1978,C1QTNF1,ENSG00000173918,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,C1q and TNF related 1,True,,,,,,,25.2,low,na
1979,PCDHA10,ENSG00000250120,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,protocadherin alpha 10,True,,,,,,,2.8,na,na
1980,ACOX1,ENSG00000161533,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,acyl-CoA oxidase 1,True,,,,,,,7.6,low,low
1981,PRSS1,ENSG00000204983,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,serine protease 1,True,,,,,,,1.6,not detected,not detected
1982,KY,ENSG00000174611,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,kyphoscoliosis peptidase,True,,,,,,,1.7,not detected,low
1983,FMO3,ENSG00000007933,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,flavin containing dimethylaniline monoxygenase 3,True,,,,,,,0.9,not detected,not detected
1984,CHSY3,ENSG00000198108,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,chondroitin sulfate synthase 3,True,,,,,,,1.1,na,na
1985,SPIDR,ENSG00000164808,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,scaffold protein involved in DNA repair,True,,,,,,,28.4,low,na
1986,TRAF4,ENSG00000076604,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,TNF receptor associated factor 4,True,,,,,,,7.2,not detected,na
1987,PDE1A,ENSG00000115252,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 1A,True,,,,,,,9.2,not detected,medium
1988,PDE8A,ENSG00000073417,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 8A,True,,,,,,,12.0,low,not detected
1989,PKD1L2,ENSG00000166473,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,polycystin 1 like 2 (gene/pseudogene),True,,,,,,,,na,na
1990,DCTD,ENSG00000129187,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,dCMP deaminase,True,,,,,,,35.9,low,medium
1991,KBTBD2,ENSG00000170852,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,kelch repeat and BTB domain containing 2,True,,,,,,,13.9,not detected,medium
1992,GUCY1A2,ENSG00000152402,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,guanylate cyclase 1 soluble subunit alpha 2,True,,,,,,,3.9,medium,na
1993,GUCY1A1,ENSG00000164116,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,guanylate cyclase 1 soluble subunit alpha 1,True,,,,,,,5.4,medium,medium
1994,PPAT,ENSG00000128059,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphoribosyl pyrophosphate amidotransferase,True,,,,,,,12.5,not detected,na
1995,INSL5,ENSG00000172410,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,insulin like 5,True,,,,,,,0.0,not detected,na
1996,PRSS2,ENSG00000275896,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,serine protease 2,True,,,,,,,0.6,not detected,not detected
1997,CACNA2D1,ENSG00000153956,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,calcium voltage-gated channel auxiliary subunit alpha2delta 1,True,,,,,,,7.8,medium,low
1998,ABCG8,ENSG00000143921,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ATP binding cassette subfamily G member 8,True,,,,,,,0.1,low,medium
1999,SCUBE1,ENSG00000159307,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"signal peptide, CUB domain and EGF like domain containing 1",True,,,,,,,35.8,not detected,not detected
2000,RGS22,ENSG00000132554,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,regulator of G protein signaling 22,True,,,,,,,6.5,na,na
2001,FZD4,ENSG00000174804,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,frizzled class receptor 4,True,,,,,,,12.8,not detected,not detected
2002,WSB2,ENSG00000176871,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,WD repeat and SOCS box containing 2,True,,,,,,,6.8,not detected,low
2003,GAS6,ENSG00000183087,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,growth arrest specific 6,True,,,,,,,33.0,not detected,na
2004,FBXO24,ENSG00000106336,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,F-box protein 24,True,,,,,,,1.0,not detected,na
2005,DUSP7,ENSG00000164086,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,dual specificity phosphatase 7,True,,,,,,,4.7,not detected,na
2006,GKN1,ENSG00000169605,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,gastrokine 1,True,,,,,,,0.0,not detected,not detected
2007,KPNA2,ENSG00000182481,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,karyopherin subunit alpha 2,True,,,,,,,5.3,not detected,not detected
2008,COL12A1,ENSG00000111799,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,collagen type XII alpha 1 chain,True,,,,,,,52.0,low,not detected
2009,RFX8,ENSG00000196460,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,regulatory factor X8,True,,,,,,,0.7,na,na
2010,ASH1L,ENSG00000116539,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ASH1 like histone lysine methyltransferase,True,,,,,,,23.5,not detected,low
2011,ITSN2,ENSG00000198399,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,intersectin 2,True,,,,,,,16.4,not detected,na
2012,PABPN1L,ENSG00000205022,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"PABPN1 like, cytoplasmic",True,,,,,,,0.1,na,na
2013,AFF1,ENSG00000172493,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,AF4/FMR2 family member 1,True,,,,,,,24.7,na,na
2014,BUB1B,ENSG00000156970,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,BUB1 mitotic checkpoint serine/threonine kinase B,True,,,,,,,0.6,na,na
2015,CAMK2G,ENSG00000148660,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,calcium/calmodulin dependent protein kinase II gamma,True,,,,,,,6.4,not detected,not detected
2016,NUBP2,ENSG00000095906,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,nucleotide binding protein 2,True,,,,,,,14.6,not detected,medium
2017,STK36,ENSG00000163482,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,serine/threonine kinase 36,True,,,,,,,13.6,medium,medium
2018,DNAJA2,ENSG00000069345,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,DnaJ heat shock protein family (Hsp40) member A2,True,,,,,,,26.1,low,high
2019,RABL2A,ENSG00000144134,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"RAB, member of RAS oncogene family like 2A",True,,,,,,,7.4,not detected,not detected
2020,CBSL,ENSG00000274276,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,cystathionine beta-synthase like,True,,,,,,,1.6,not detected,not detected
2021,SETD6,ENSG00000103037,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"SET domain containing 6, protein lysine methyltransferase",True,,,,,,,9.0,low,medium
2022,TBCCD1,ENSG00000113838,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,TBCC domain containing 1,True,,,,,,,10.8,na,na
2023,PBX3,ENSG00000167081,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,PBX homeobox 3,True,,,,,,,35.0,medium,na
2024,TOP2B,ENSG00000077097,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,DNA topoisomerase II beta,True,,,,,,,26.8,medium,low
2025,UBE2J2,ENSG00000160087,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ubiquitin conjugating enzyme E2 J2,True,,,,,,,19.4,na,na
2026,LYN,ENSG00000254087,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"LYN proto-oncogene, Src family tyrosine kinase",True,,,,,,,5.3,not detected,not detected
2027,ADGRD1,ENSG00000111452,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,adhesion G protein-coupled receptor D1,True,,,,,,,12.5,not detected,na
2028,PDE2A,ENSG00000186642,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 2A,True,,,,,,,3.4,not detected,not detected
2029,PDE7A,ENSG00000205268,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 7A,True,,,,,,,3.4,not detected,medium
2030,DDX24,ENSG00000089737,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,DEAD-box helicase 24,True,,,,,,,21.4,not detected,not detected
2031,NTF4,ENSG00000225950,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,neurotrophin 4,True,,,,,,,0.3,na,na
2032,DPPA3,ENSG00000187569,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,developmental pluripotency associated 3,True,,,,,,,1.8,na,na
2033,EFR3B,ENSG00000084710,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,EFR3 homolog B,True,,,,,,,1.4,na,na
2034,SHISA2,ENSG00000180730,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,shisa family member 2,True,,,,,,,0.0,na,na
2035,SLC29A1,ENSG00000112759,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,solute carrier family 29 member 1 (Augustine blood group),True,,,,,,,12.5,low,high
2036,PDSS1,ENSG00000148459,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,decaprenyl diphosphate synthase subunit 1,True,,,,,,,2.8,not detected,na
2037,IL17RC,ENSG00000163702,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,interleukin 17 receptor C,True,,,,,,,9.9,not detected,low
2038,PDE4C,ENSG00000105650,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 4C,True,,,,,,,2.0,not detected,not detected
2039,PDE7B,ENSG00000171408,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 7B,True,,,,,,,22.7,not detected,not detected
2040,NEMP1,ENSG00000166881,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,nuclear envelope integral membrane protein 1,True,,,,,,,12.3,na,na
2041,NADSYN1,ENSG00000172890,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,NAD synthetase 1,True,,,,,,,15.6,not detected,na
2042,RDX,ENSG00000137710,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,radixin,True,,,,,,,23.7,low,low
2043,MTCL1,ENSG00000168502,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,microtubule crosslinking factor 1,True,,,,,,,1.3,not detected,na
2044,PDE1B,ENSG00000123360,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 1B,True,,,,,,,12.5,not detected,not detected
2045,PRR19,ENSG00000188368,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,proline rich 19,True,,,,,,,0.9,na,na
2046,CYP27B1,ENSG00000111012,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,cytochrome P450 family 27 subfamily B member 1,True,,,,,,,0.3,na,na
2047,ERCC6L,ENSG00000186871,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"ERCC excision repair 6 like, spindle assembly checkpoint helicase",True,,,,,,,1.2,low,na
2048,NDC1,ENSG00000058804,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,NDC1 transmembrane nucleoporin,True,,,,,,,4.6,medium,na
2049,C16orf92,ENSG00000167194,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,chromosome 16 open reading frame 92,True,,,,,,,0.1,na,na
2050,CCNB3,ENSG00000147082,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,cyclin B3,True,,,,,,,0.4,na,na
2051,TMCO1,ENSG00000143183,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,transmembrane and coiled-coil domains 1,True,,,,,,,30.6,not detected,na
2052,MCIDAS,ENSG00000234602,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,multiciliate differentiation and DNA synthesis associated cell cycle protein,True,,,,,,,0.0,na,na
2053,GCM2,ENSG00000124827,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,glial cells missing transcription factor 2,True,,,,,,,0.0,na,na
2054,ZRSR2,ENSG00000169249,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",True,,,,,,,16.7,na,na
2055,GM2A,ENSG00000196743,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,GM2 ganglioside activator,True,,,,,,,12.2,not detected,na
2056,HECTD3,ENSG00000126107,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,HECT domain E3 ubiquitin protein ligase 3,True,,,,,,,14.1,not detected,medium
2057,PHOX2B,ENSG00000109132,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,paired like homeobox 2B,True,,,,,,,0.0,not detected,not detected
2058,LSM14B,ENSG00000149657,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,LSM family member 14B,True,,,,,,,30.6,not detected,low
2059,ADAD2,ENSG00000140955,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,adenosine deaminase domain containing 2,True,,,,,,,0.2,not detected,na
2060,SAMD4A,ENSG00000020577,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,sterile alpha motif domain containing 4A,True,,,,,,,2.1,low,medium
2061,C1GALT1,ENSG00000106392,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",True,,,,,,,6.2,low,na
2062,BECN1,ENSG00000126581,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,beclin 1,True,,,,,,,22.0,not detected,low
2063,FGG,ENSG00000171557,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,fibrinogen gamma chain,True,,,,,,,0.2,not detected,not detected
2064,VSX2,ENSG00000119614,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,visual system homeobox 2,True,,,,,,,0.0,not detected,not detected
2065,ELOVL5,ENSG00000012660,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,ELOVL fatty acid elongase 5,True,,,,,,,13.1,not detected,not detected
2066,PDE6C,ENSG00000095464,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 6C,True,,,,,,,1.0,na,na
2067,PARP12,ENSG00000059378,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,poly(ADP-ribose) polymerase family member 12,True,,,,,,,3.2,low,not detected
2068,KCNJ8,ENSG00000121361,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,potassium inwardly rectifying channel subfamily J member 8,True,,,,,,,12.4,not detected,not detected
2069,SLC6A8,ENSG00000130821,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,solute carrier family 6 member 8,True,,,,,,,5.1,na,na
2070,TNS2,ENSG00000111077,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,tensin 2,True,,,,,,,48.6,not detected,na
2071,GNL1,ENSG00000204590,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,G protein nucleolar 1 (putative),True,,,,,,,25.9,low,not detected
2072,ECE1,ENSG00000117298,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,endothelin converting enzyme 1,True,,,,,,,34.2,medium,na
2073,PLCE1,ENSG00000138193,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,phospholipase C epsilon 1,True,,,,,,,3.2,low,na
2074,PJA1,ENSG00000181191,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,praja ring finger ubiquitin ligase 1,True,,,,,,,16.2,low,medium
2075,DAZAP1,ENSG00000071626,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,DAZ associated protein 1,True,,,,,,,20.7,medium,na
2076,AP3B1,ENSG00000132842,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,adaptor related protein complex 3 subunit beta 1,True,,,,,,,18.3,not detected,na
2077,SH2D3C,ENSG00000095370,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,SH2 domain containing 3C,True,,,,,,,5.7,not detected,not detected
2078,PRSS3,ENSG00000010438,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,serine protease 3,True,,,,,,,0.7,not detected,not detected
2079,S1PR3,ENSG00000213694,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,sphingosine-1-phosphate receptor 3,True,,,,,,,12.2,na,na
2080,TRAPPC2L,ENSG00000167515,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,trafficking protein particle complex subunit 2L,True,,,,,,,21.5,not detected,low
2081,ESRRG,ENSG00000196482,0.073915971,No data,No data,No data,No data,0.369579855,No data,No data,estrogen related receptor gamma,True,,,,,,,0.8,not detected,na
2082,CAV3,ENSG00000182533,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,caveolin 3,True,,,,,,,0.0,not detected,not detected
2083,SEC61B,ENSG00000106803,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,SEC61 translocon subunit beta,True,,,,,,,31.6,not detected,not detected
2084,CSF3R,ENSG00000119535,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,colony stimulating factor 3 receptor,True,,,,,,,1.1,not detected,na
2085,KDM1B,ENSG00000165097,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,lysine demethylase 1B,True,,,,,,,8.8,not detected,na
2086,ERICH2,ENSG00000204334,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,glutamate rich 2,True,,,,,,,0.6,na,na
2087,C1QL2,ENSG00000144119,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,complement C1q like 2,True,,,,,,,0.7,na,na
2088,DHFR,ENSG00000228716,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,dihydrofolate reductase,True,,,,,,,7.5,not detected,low
2089,FBXO38,ENSG00000145868,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,F-box protein 38,True,,,,,,,19.2,not detected,na
2090,ZSCAN21,ENSG00000166529,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,zinc finger and SCAN domain containing 21,True,,,,,,,13.7,not detected,low
2091,NBN,ENSG00000104320,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,nibrin,True,,,,,,,19.3,medium,medium
2092,CCNT2,ENSG00000082258,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,cyclin T2,True,,,,,,,22.8,low,na
2093,MMAA,ENSG00000151611,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,metabolism of cobalamin associated A,True,,,,,,,1.3,not detected,not detected
2094,ITPK1,ENSG00000100605,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,inositol-tetrakisphosphate 1-kinase,True,,,,,,,11.4,not detected,na
2095,POU6F2,ENSG00000106536,0.073915971,No data,No data,No data,No data,0.369579855,No data,No data,POU class 6 homeobox 2,True,,,,,,,1.0,na,na
2096,RESF1,ENSG00000174718,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,retroelement silencing factor 1,True,,,,,,,38.3,low,medium
2097,ZNF296,ENSG00000170684,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,zinc finger protein 296,True,,,,,,,0.6,na,na
2098,P3H1,ENSG00000117385,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,prolyl 3-hydroxylase 1,True,,,,,,,13.1,low,low
2099,PDE6H,ENSG00000139053,0.073915971,No data,No data,0.073915971,No data,No data,No data,No data,phosphodiesterase 6H,True,,,,,,,0.1,not detected,not detected
2100,SYNE1,ENSG00000131018,0.073915971,No data,No data,No data,No data,No data,No data,0.369579855,spectrin repeat containing nuclear envelope protein 1,True,,,,,,,27.7,high,na
2101,ENG,ENSG00000106991,0.073879013,No data,No data,No data,No data,0.036957985,No data,0.360155568,endoglin,True,,,,,,,66.4,not detected,not detected
2102,EPAS1,ENSG00000116016,0.073879013,No data,No data,No data,No data,0.036957985,No data,0.360155568,endothelial PAS domain protein 1,True,,,,,,,20.2,na,na
2103,FOXG1,ENSG00000176165,0.073879013,No data,No data,No data,No data,0.036957985,No data,0.360155568,forkhead box G1,True,,,,,,,1.3,na,na
2104,MAP2,ENSG00000111142,0.073777378,No data,No data,No data,No data,0.030490338,No data,0.361264308,microtubule associated protein 2,True,,,,,,,29.4,low,na
2105,TUBB3,ENSG00000258947,0.073607012,No data,No data,No data,No data,0.031517975,No data,0.360155568,tubulin beta 3 class III,True,,,,,,,1.1,not detected,na
2106,PRNP,ENSG00000171867,0.073509433,No data,No data,No data,No data,0.007391597,No data,0.365699266,prion protein,True,,,,,,,49.6,not detected,not detected
2107,SP7,ENSG00000170374,0.073324643,No data,No data,No data,No data,0.02587059,No data,0.360155568,Sp7 transcription factor,True,,,,,,,0.2,not detected,not detected
2108,MYCN,ENSG00000134323,0.07321495,No data,No data,No data,No data,0.023676723,No data,0.360155568,"MYCN proto-oncogene, bHLH transcription factor",True,,,,,,,10.3,na,na
2109,GDF1,ENSG00000130283,0.073139853,No data,No data,No data,No data,No data,No data,0.365699266,growth differentiation factor 1,True,,,,,,,2.4,na,na
2110,CERS1,ENSG00000223802,0.073139853,No data,No data,No data,No data,No data,No data,0.365699266,ceramide synthase 1,True,,,,,,,4.3,not detected,not detected
2111,OPA1,ENSG00000198836,0.073139853,No data,No data,No data,No data,No data,No data,0.365699266,OPA1 mitochondrial dynamin like GTPase,True,,,,,,,13.2,not detected,high
2112,CNTNAP1,ENSG00000108797,0.073139853,No data,No data,No data,No data,No data,No data,0.365699266,contactin associated protein 1,True,,,,,,,8.7,not detected,na
